0,1,2,3,4,5,6,7,,,,,,,,,,,,,
Buddhabhumi Campus,Lumbini,Education,Bachelor 4-YRS B.ED.,,70,25,95,,,,,,,,,,,,,
Buddhabhumi Campus,Lumbini,,Management Bachelor 4-YRS B.B.S.,,18,16,34,,,,,,,,,,,,,
Buddhabhumi Campus,Lumbini,Management Master,,MBS,11,10,21,,,,,,,,,,,,,
Buddhilal Bidya Munar Campus,Madhesh,Education,Bachelor 4-YRS B.ED.,,233,64,297,,,,,,,,,,,,,
Buddhilal Bidya Munar Campus,Madhesh,Education,Master,Health Education,14,8,22,,,,,,,,,,,,,
Buddhilal Bidya Munar Campus,Madhesh,Education,Master,Nepali Education,20,18,38,,,,,,,,,,,,,
Budhanilkantha Campus,Bagmati,Education,Bachelor 4-YRS B.ED.,,59,16,75,,,,,,,,,,,,,
Budhanilkantha Campus,Bagmati,,Management Bachelor 4-YRS B.B.S.,,65,43,108,,,,,,,,,,,,,
Budhi Gandaki Campus,Bagmati,Education,Bachelor 4-YRS B.ED.,,31,8,39,,,,,,,,,,,,,
Budhinanda Campus,Sudurpaschim  Education,,Bachelor 4-YRS B.ED.,,218,163,381,,,,,,,,,,,,,
Budhinanda Campus,Sudurpaschim  HSS,,Bachelor 4-YRS B.A.,,10,20,30,,,,,,,,,,,,,
Budhuk Campus,Koshi,Education,Bachelor 4-YRS B.ED.,,49,17,66,,,,,,,,,,,,,
Bulbule Multiple campus,Sudurpaschim  Education,,Bachelor 4-YRS B.ED.,,57,15,72,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,,,,,,,,,,,,,
Campus Name,Province,Faculty,Level,Programname,Female,Male,Total,,,,,,,,,,,,,
Bulbule Multiple campus,,Sudurpaschim  Management Bachelor 4-YRS B.B.S.,,,30,12,42,,,,,,,,,,,,,
Campus of Live Sciences,Lumbini,Agriculture,Bachelor B. Sc. Ag,,47,60,107,,,,,,,,,,,,,
Central Deaf Campus,Bagmati,Education,Bachelor 4-YRS B.ED.,,42,53,95,,,,,,,,,,,,,
Chaitanya Campus,Bagmati,Education,Bachelor 4-YRS B.ED.,,77,10,87,,,,,,,,,,,,,
Chaitanya Campus,Bagmati,Education,Master,EPM,13,8,21,,,,,,,,,,,,,
Chaitanya Campus,Bagmati,Education,Master,English  Education,13,16,29,,,,,,,,,,,,,
Chaitanya Campus,Bagmati,Education,Master,Mathematics  Education,7,2,9,,,,,,,,,,,,,
Chaitanya Campus,Bagmati,Education,Master,Nepali Education,11,26,37,,,,,,,,,,,,,
Chaitanya Campus,Bagmati,,Management Bachelor 4-YRS B.B.S.,,41,10,51,,,,,,,,,,,,,
Chamunda College,Karnali,Education,Bachelor 4-YRS B.ED.,,195,151,346,,,,,,,,,,,,,
Chandeswari Multiple Campus,Bagmati,Education,Bachelor 4-YRS B.ED.,,5,3,8,,,,,,,,,,,,,
Chandra Shatrughna Campus,Madhesh,Education,Bachelor 4-YRS B.ED.,,72,14,86,,,,,,,,,,,,,
Chandrodaya Multiple Campus,Bagmati,Education,Bachelor 4-YRS B.ED.,,69,18,87,,,,,,,,,,,,,
Chandrodaya Multiple Campus,Bagmati,,Management Bachelor 4-YRS B.B.S.,,52,20,72,,,,,,,,,,,,,
Chapakot Campus,Gandaki,Education,Bachelor 4-YRS B.ED.,,63,8,71,,,,,,,,,,,,,
Chapakot Campus,Gandaki,,Management Bachelor 4-YRS B.B.S.,,37,13,50,,,,,,,,,,,,,
Charikot mutliple campus,Bagmati,Education,Bachelor 4-YRS B.ED.,,63,24,87,,,,,,,,,,,,,
Charikot mutliple campus,Bagmati,HSS,Bachelor 4-YRS B.A.,,10,8,18,,,,,,,,,,,,,
Charikot mutliple campus,Bagmati,,Management Bachelor 4-YRS B.B.S.,,9,5,14,,,,,,,,,,,,,
Chaturbhujeshor Janta Campus,Madhesh,Education,Bachelor 4-YRS B.ED.,,154,42,196,,,,,,,,,,,,,
Chaturbhujeshor Janta Campus,Madhesh,Education,Master,EPM,7,3,10,,,,,,,,,,,,,
Chaturbhujeshor Janta Campus,Madhesh,Education,Master,Health Education,4,5,9,,,,,,,,,,,,,
Chaturbhujeshor Janta Campus,Madhesh,HSS,Bachelor 4-YRS B.A.,,10,9,19,,,,,,,,,,,,,
Chaturbhujeshor Janta Campus,Madhesh,,Management Bachelor 4-YRS B.B.S.,,276,159,435,,,,,,,,,,,,,
Chaumala Multiple campus,Sudurpaschim  Education,,Bachelor 4-YRS B.ED.,,171,35,206,,,,,,,,,,,,,
Chaumala Multiple campus,,Sudurpaschim  Management Bachelor 4-YRS B.B.S.,,,64,31,95,,,,,,,,,,,,,
Chautara Campus,Bagmati,Education,Bachelor 4-YRS B.ED.,,127,31,158,,,,,,,,,,,,,
Chautara Campus,Bagmati,Education,Master,English  Education,16,9,25,,,,,,,,,,,,,
Chautara Campus,Bagmati,Education,Master,Nepali Education,22,15,37,,,,,,,,,,,,,
Chautara Campus,Bagmati,,Management Bachelor 4-YRS B.B.S.,,88,38,126,,,,,,,,,,,,,
Chautara Campus,Bagmati,S&T,Bachelor 4-YRS B.Sc,,2,4,6,,,,,,,,,,,,,
Chhathar campus,Koshi,Education,Bachelor 4-YRS B.ED.,,48,15,63,,,,,,,,,,,,,
Chiran-Milan Bishwa Shanti  Campus,Bagmati,HSS,Bachelor 4-YRS B.A.,,46,27,73,,,,,,,,,,,,,
Chiran-Milan Bishwa Shanti  Campus,Bagmati,,Management Bachelor 4-YRS B.B.S.,,73,53,126,,,,,,,,,,,,,
Chitwan College,Bagmati,HSS,Bachelor BCA,,10,42,52,,,,,,,,,,,,,
Chitwan College,Bagmati,,Management Bachelor 4-YRS B.B.S.,,3,1,4,,,,,,,,,,,,,
Chure Campus,Lumbini,Education,Bachelor 4-YRS B.ED.,,125,33,158,,,,,,,,,,,,,
Chure Campus,Lumbini,Education,Master,Health Education,6,13,19,,,,,,,,,,,,,
Chure Campus,Lumbini,HSS,Bachelor 4-YRS B.A.,,52,19,71,,,,,,,,,,,,,
Chure Campus,Lumbini,,Management Bachelor 4-YRS B.B.S.,,115,51,166,,,,,,,,,,,,,
Chure Campus,Lumbini,Management Master,,MBS,21,43,64,,,,,,,,,,,,,
Dahathum Bahumukhi Campus,Gandaki,Education,Bachelor 4-YRS B.ED.,,44,3,47,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,,,,,,,,,,,,,
Campus Name,Province,Faculty,Level,Programname,Female,Male,Total,,,,,,,,,,,,,
Damak Multiple Campus,Koshi,Education,Bachelor 4-YRS B.ED.,,463,94,557,,,,,,,,,,,,,
Damak Multiple Campus,Koshi,Education,Master,English  Education,9,9,18,,,,,,,,,,,,,
Damak Multiple Campus,Koshi,Education,Master,Nepali Education,4,16,20,,,,,,,,,,,,,
Damak Multiple Campus,Koshi,HSS,Bachelor 4-YRS B.A.,,135,63,198,,,,,,,,,,,,,
Damak Multiple Campus,Koshi,HSS,Bachelor BCA,,45,40,85,,,,,,,,,,,,,
Damak Multiple Campus,Koshi,HSS,Master,Economics,9,18,27,,,,,,,,,,,,,
Damak Multiple Campus,Koshi,,Management Bachelor 4-YRS B.B.S.,,772,613,1385,,,,,,,,,,,,,
Damak Multiple Campus,Koshi,,Management Bachelor BBA,,70,48,118,,,,,,,,,,,,,
Damak Multiple Campus,Koshi,Management Master,,MBS,114,99,213,,,,,,,,,,,,,
Damak Multiple Campus,Koshi,S&T,Bachelor 4-YRS B.Sc,,172,148,320,,,,,,,,,,,,,
Dapcha Krishna Multiple Campus,Bagmati,Education,Bachelor 4-YRS B.ED.,,14,0,14,,,,,,,,,,,,,
Dapcha Krishna Multiple Campus,Bagmati,,Management Bachelor 4-YRS B.B.S.,,25,8,33,,,,,,,,,,,,,
Darchha campus,Lumbini,Education,Bachelor 4-YRS B.ED.,,77,12,89,,,,,,,,,,,,,
daunedevi Multiple campus,Lumbini,Education,Bachelor 4-YRS B.ED.,,116,15,131,,,,,,,,,,,,,
daunedevi Multiple campus,Lumbini,,Management Bachelor 4-YRS B.B.S.,,54,44,98,,,,,,,,,,,,,
Dedithumka Public Campus,Bagmati,HSS,Bachelor 4-YRS B.A.,,19,2,21,,,,,,,,,,,,,
Dedithumka Public Campus,Bagmati,,Management Bachelor 4-YRS B.B.S.,,11,5,16,,,,,,,,,,,,,
Deukhuri Multiple Campus,Lumbini,Education,Bachelor 4-YRS B.ED.,,372,85,457,,,,,,,,,,,,,
Deukhuri Multiple Campus,Lumbini,Education,Master,EPM,25,16,41,,,,,,,,,,,,,
Deukhuri Multiple Campus,Lumbini,Education,Master,Nepali Education,10,15,25,,,,,,,,,,,,,
Deukhuri Multiple Campus,Lumbini,HSS,Bachelor 4-YRS B.A.,,68,32,100,,,,,,,,,,,,,
Deukhuri Multiple Campus,Lumbini,,Management Bachelor 4-YRS B.B.S.,,375,213,588,,,,,,,,,,,,,
Deukhuri Multiple Campus,Lumbini,Management Master,,MBS,20,25,45,,,,,,,,,,,,,
Devchuli College,Gandaki,Education,Bachelor 4-YRS B.ED.,,45,8,53,,,,,,,,,,,,,
Devchuli College,Gandaki,,Management Bachelor 4-YRS B.B.S.,,69,40,109,,,,,,,,,,,,,
Devdah Aadarsh Multiple Campus,Lumbini,Education,Bachelor 4-YRS B.ED.,,282,34,316,,,,,,,,,,,,,
Devdah Aadarsh Multiple Campus,Lumbini,,Management Bachelor 4-YRS B.B.S.,,166,90,256,,,,,,,,,,,,,
Dhading Multiple campus,Bagmati,,Management Bachelor 4-YRS B.B.S.,,59,21,80,,,,,,,,,,,,,
Dhulikhel Sanjeevani Campus,Bagmati,,Management Bachelor 4-YRS B.B.S.,,48,50,98,,,,,,,,,,,,,
Dhunibesi Adarsha Campus,Bagmati,Education,Bachelor 4-YRS B.ED.,,47,7,54,,,,,,,,,,,,,
Dhunibesi Adarsha Campus,Bagmati,,Management Bachelor 4-YRS B.B.S.,,21,8,29,,,,,,,,,,,,,
Dhurkot Parmananda Bhandari  Multiple Campus,Lumbini,Education,Bachelor 4-YRS B.ED.,,88,34,122,,,,,,,,,,,,,
Dhurkot Parmananda Bhandari  Multiple Campus,Lumbini,HSS,Bachelor 4-YRS B.A.,,28,26,54,,,,,,,,,,,,,
Dibya Jyoti Campus,Lumbini,Education,Bachelor 4-YRS B.ED.,,208,40,248,,,,,,,,,,,,,
Dibya Jyoti Campus,Lumbini,HSS,Bachelor 4-YRS B.A.,,52,22,74,,,,,,,,,,,,,
Dibya Jyoti Campus,Lumbini,,Management Bachelor 4-YRS B.B.S.,,414,202,616,,,,,,,,,,,,,
Dibya Jyoti Campus,Lumbini,,Management Bachelor BBA,,14,5,19,,,,,,,,,,,,,
Dibya Jyoti Campus,Lumbini,Management Master,,MBS,42,41,83,,,,,,,,,,,,,
Digam Aadarsh Multiple Campus,Lumbini,Education,Bachelor 4-YRS B.ED.,,14,5,19,,,,,,,,,,,,,
Digam Aadarsh Multiple Campus,Lumbini,,Management Bachelor 4-YRS B.B.S.,,4,7,11,,,,,,,,,,,,,
Diktel Campus,Koshi,Education,Bachelor 4-YRS B.ED.,,176,62,238,,,,,,,,,,,,,
Diktel Campus,Koshi,Education,Master,Nepali Education,5,6,11,,,,,,,,,,,,,
Diktel Campus,Koshi,HSS,Bachelor 4-YRS B.A.,,121,95,216,,,,,,,,,,,,,
Diktel Campus,Koshi,HSS,Master,Sociology,14,27,41,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,,,,,,,,,,,,,
Campus Name,Province,Faculty,Level,Programname,Female,Male,Total,,,,,,,,,,,,,
Diktel Campus,Koshi,,Management Bachelor 4-YRS B.B.S.,,89,61,150,,,,,,,,,,,,,
Dillibazar Kanya Multiple Campus,Bagmati,Education,Bachelor 4-YRS B.ED.,,158,0,158,,,,,,,,,,,,,
Dillibazar Kanya Multiple Campus,Bagmati,HSS,Bachelor 4-YRS B.A.,,58,0,58,,,,,,,,,,,,,
Dillibazar Kanya Multiple Campus,Bagmati,HSS,Master,English,18,0,18,,,,,,,,,,,,,
Dillibazar Kanya Multiple Campus,Bagmati,HSS,Master,Sociology,35,0,35,,,,,,,,,,,,,
Dillibazar Kanya Multiple Campus,Bagmati,,Management Bachelor 4-YRS B.B.S.,,244,0,244,,,,,,,,,,,,,
Dillibazar Kanya Multiple Campus,Bagmati,,Management Bachelor BBM,,57,0,57,,,,,,,,,,,,,
Dillibazar Kanya Multiple Campus,Bagmati,Management Master,,MBS,35,0,35,,,,,,,,,,,,,
Dolpo Campus,Karnali,Education,Bachelor 4-YRS B.ED.,,104,90,194,,,,,,,,,,,,,
Drabya Shah Campus,Gandaki,Education,Bachelor 4-YRS B.ED.,,113,12,125,,,,,,,,,,,,,
Drabya Shah Campus,Gandaki,HSS,Bachelor 4-YRS B.A.,,36,15,51,,,,,,,,,,,,,
Drabya Shah Campus,Gandaki,HSS,Master,Nepali,7,0,7,,,,,,,,,,,,,
Drabya Shah Campus,Gandaki,,Management Bachelor 4-YRS B.B.S.,,165,86,251,,,,,,,,,,,,,
Drabya Shah Campus,Gandaki,Management Master,,MBS,29,18,47,,,,,,,,,,,,,
Dronachal Education Campus,Karnali,Education,Bachelor 4-YRS B.ED.,,320,189,509,,,,,,,,,,,,,
Dronachal Education Campus,Karnali,Education,Master,EPM,58,12,70,,,,,,,,,,,,,
Dronachal Education Campus,Karnali,Education,Master,Nepali Education,17,19,36,,,,,,,,,,,,,
Dronachal Education Campus,Karnali,,Management Bachelor 4-YRS B.B.S.,,52,32,84,,,,,,,,,,,,,
Dudhakoshi Multiple Campus,Koshi,Education,Bachelor 4-YRS B.ED.,,10,4,14,,,,,,,,,,,,,
Dudhakoshi Multiple Campus,Koshi,HSS,Bachelor 4-YRS B.A.,,9,10,19,,,,,,,,,,,,,
"Dudiawa multiple campus, rautahat",Madhesh,Education,Bachelor 4-YRS B.ED.,,88,68,156,,,,,,,,,,,,,
Dullav Campus,Gandaki,Education,Bachelor 4-YRS B.ED.,,39,4,43,,,,,,,,,,,,,
Dullav Campus,Gandaki,,Management Bachelor 4-YRS B.B.S.,,13,2,15,,,,,,,,,,,,,
Dumarbana Multiple Campus,Madhesh,Education,Bachelor 4-YRS B.ED.,,49,5,54,,,,,,,,,,,,,
Dumarbana Multiple Campus,Madhesh,HSS,Bachelor 4-YRS B.A.,,9,4,13,,,,,,,,,,,,,
Dumarbana Multiple Campus,Madhesh,,Management Bachelor 4-YRS B.B.S.,,57,20,77,,,,,,,,,,,,,
Ekatappa Multiple Campus,Koshi,Education,Bachelor 4-YRS B.ED.,,35,17,52,,,,,,,,,,,,,
Farula multiple campus,Karnali,Education,Bachelor 4-YRS B.ED.,,73,47,120,,,,,,,,,,,,,
Gadhawa Multiple Campus,Lumbini,Education,Bachelor 4-YRS B.ED.,,80,21,101,,,,,,,,,,,,,
Galkot Multiple Campus,Gandaki,Education,Bachelor 4-YRS B.ED.,,139,25,164,,,,,,,,,,,,,
Galkot Multiple Campus,Gandaki,,Management Bachelor 4-YRS B.B.S.,,91,42,133,,,,,,,,,,,,,
Galyang Multiple Campus,Gandaki,Education,Bachelor 4-YRS B.ED.,,122,9,131,,,,,,,,,,,,,
Galyang Multiple Campus,Gandaki,Education,Master,EPM,5,2,7,,,,,,,,,,,,,
Galyang Multiple Campus,Gandaki,HSS,Bachelor 4-YRS B.A.,,70,20,90,,,,,,,,,,,,,
Galyang Multiple Campus,Gandaki,HSS,Master,Sociology,14,7,21,,,,,,,,,,,,,
Galyang Multiple Campus,Gandaki,,Management Bachelor 4-YRS B.B.S.,,132,56,188,,,,,,,,,,,,,
Galyang Multiple Campus,Gandaki,Management Master,,MBS,1,4,5,,,,,,,,,,,,,
gandhi tulsi campus,Bagmati,,Management Bachelor 4-YRS B.B.S.,,145,61,206,,,,,,,,,,,,,
ganesh multiple campus,Bagmati,Education,Bachelor 4-YRS B.ED.,,97,29,126,,,,,,,,,,,,,
ganesh multiple campus,Bagmati,,Management Bachelor 4-YRS B.B.S.,,138,95,233,,,,,,,,,,,,,
Ganeshman Singh Multiple Campus Bagmati,,Education,Bachelor 4-YRS B.ED.,,76,15,91,,,,,,,,,,,,,
Ganeshman Singh Multiple Campus Bagmati,,Education,Master,EPM,4,2,6,,,,,,,,,,,,,
Ganeshman Singh Multiple Campus Bagmati,,HSS,Bachelor 4-YRS B.A.,,52,24,76,,,,,,,,,,,,,
Ganeshman Singh Multiple Campus Bagmati,,HSS,Bachelor BCA,,7,37,44,,,,,,,,,,,,,
Ganeshman Singh Multiple Campus Bagmati,,,Management Bachelor 4-YRS B.B.S.,,91,63,154,,,,,,,,,,,,,
Garuwa Multiple Campus,Koshi,Education,Bachelor 4-YRS B.ED.,,108,44,152,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,,,,,,,,,,,,,
Campus Name,Province,Faculty,Level,Programname,Female,Male,Total,,,,,,,,,,,,,
Gaumati Multiple Campus,Bagmati,HSS,Bachelor 4-YRS B.A.,,66,40,106,,,,,,,,,,,,,
Gaumati Multiple Campus,Bagmati,,Management Bachelor 4-YRS B.B.S.,,107,67,174,,,,,,,,,,,,,
Gaumukhi Campus,Lumbini,Education,Bachelor 4-YRS B.ED.,,76,22,98,,,,,,,,,,,,,
Gaumukhi Campus,Lumbini,,Management Bachelor 4-YRS B.B.S.,,24,9,33,,,,,,,,,,,,,
Gauradaha Campus,Koshi,Education,Bachelor 4-YRS B.ED.,,186,30,216,,,,,,,,,,,,,
Gauradaha Campus,Koshi,Education,Master,EPM,3,6,9,,,,,,,,,,,,,
Gauradaha Campus,Koshi,HSS,Bachelor 4-YRS B.A.,,2,2,4,,,,,,,,,,,,,
Gauradaha Campus,Koshi,,Management Bachelor 4-YRS B.B.S.,,65,53,118,,,,,,,,,,,,,
Gauri Shankar Campus,Madhesh,Education,Bachelor 4-YRS B.ED.,,80,12,92,,,,,,,,,,,,,
Gauri Shankar Campus,Madhesh,,Management Bachelor 4-YRS B.B.S.,,94,66,160,,,,,,,,,,,,,
Gauri Shankar Yadav Rautahat  Campus,Madhesh,Education,Bachelor 4-YRS B.ED.,,243,181,424,,,,,,,,,,,,,
Gauri Shankar Yadav Rautahat  Campus,Madhesh,Education,Master,EPM,77,18,95,,,,,,,,,,,,,
Gauri Shankar Yadav Rautahat  Campus,Madhesh,Education,Master,Health Education,17,6,23,,,,,,,,,,,,,
Gauri Shankar Yadav Rautahat  Campus,Madhesh,HSS,Bachelor 4-YRS B.A.,,2,16,18,,,,,,,,,,,,,
Gauri Shankar Yadav Rautahat  Campus,Madhesh,,Management Bachelor 4-YRS B.B.S.,,234,253,487,,,,,,,,,,,,,
Gauri Shankar Yadav Rautahat  Campus,Madhesh,Management Master,,MBS,15,61,76,,,,,,,,,,,,,
Gauri Shanker Campus,Gandaki,Education,Bachelor 4-YRS B.ED.,,26,2,28,,,,,,,,,,,,,
Gauri Shanker Campus,Gandaki,,Management Bachelor 4-YRS B.B.S.,,29,18,47,,,,,,,,,,,,,
GauriganJ campus,Koshi,Education,Bachelor 4-YRS B.ED.,,80,25,105,,,,,,,,,,,,,
GauriganJ campus,Koshi,,Management Bachelor 4-YRS B.B.S.,,11,19,30,,,,,,,,,,,,,
Gaurishankar Multiple Campus  charikot,Bagmati,Education,Bachelor 4-YRS B.ED.,,191,43,234,,,,,,,,,,,,,
Gaurishankar Multiple Campus  charikot,Bagmati,Education,Master,EPM,38,23,61,,,,,,,,,,,,,
Gaurishankar Multiple Campus  charikot,Bagmati,Education,Master,English  Education,6,5,11,,,,,,,,,,,,,
Gaurishankar Multiple Campus  charikot,Bagmati,Education,Master,Nepali Education,5,7,12,,,,,,,,,,,,,
Gaurishankar Multiple Campus  charikot,Bagmati,HSS,Bachelor 4-YRS B.A.,,60,58,118,,,,,,,,,,,,,
Gaurishankar Multiple Campus  charikot,Bagmati,,Management Bachelor 4-YRS B.B.S.,,167,73,240,,,,,,,,,,,,,
Gaurishankar Multiple Campus  charikot,Bagmati,Management Master,,MBS,20,13,33,,,,,,,,,,,,,
Gaurishankar Multiple Campus  Ramechhap,Bagmati,Education,Bachelor 4-YRS B.ED.,,25,6,31,,,,,,,,,,,,,
Gaurishankar Multiple Campus  Ramechhap,Bagmati,HSS,Bachelor 4-YRS B.A.,,16,6,22,,,,,,,,,,,,,
Gautam Buddha Multiple Campus,Lumbini,Education,Bachelor 4-YRS B.ED.,,112,16,128,,,,,,,,,,,,,
Gautam Buddha Multiple Campus,Lumbini,HSS,Bachelor 4-YRS B.A.,,5,4,9,,,,,,,,,,,,,
Gautam Buddha Multiple Campus,Lumbini,,Management Bachelor 4-YRS B.B.S.,,55,54,109,,,,,,,,,,,,,
Ghatal Multiple Campus,,Sudurpaschim  Management Bachelor 4-YRS B.B.S.,,,17,6,23,,,,,,,,,,,,,
Ghodaghodi Multiple Campus,Sudurpaschim  Education,,Bachelor 4-YRS B.ED.,,223,48,271,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,,,,,,,,,,,,,
Campus Name,Province,Faculty,Level,Programname,Female,Male,Total,,,,,,,,,,,,,
Ghodaghodi Multiple Campus,Sudurpaschim  Education,,Master,Health Education,2,3,5,,,,,,,,,,,,,
Ghodaghodi Multiple Campus,Sudurpaschim  Education,,Master,Nepali Education,15,16,31,,,,,,,,,,,,,
Ghodaghodi Multiple Campus,Sudurpaschim  HSS,,Bachelor 4-YRS B.A.,,283,99,382,,,,,,,,,,,,,
Ghodaghodi Multiple Campus,Sudurpaschim  HSS,,Master,English,12,27,39,,,,,,,,,,,,,
Ghodaghodi Multiple Campus,Sudurpaschim  HSS,,Master,Sociology,20,20,40,,,,,,,,,,,,,
Ghodaghodi Multiple Campus,,Sudurpaschim  Management Bachelor 4-YRS B.B.S.,,,407,284,691,,,,,,,,,,,,,
Ghodaghodi Multiple Campus,,Sudurpaschim  Management Master,,MBS,12,28,40,,,,,,,,,,,,,
Ghodaghodi Multiple Campus,Sudurpaschim  S&T,,Bachelor BSc.CSIT,,58,130,188,,,,,,,,,,,,,
GM Community college,Bagmati,,Management Bachelor 4-YRS B.B.S.,,81,34,115,,,,,,,,,,,,,
Gobardhan Janta Campus,Madhesh,Education,Bachelor 4-YRS B.ED.,,87,23,110,,,,,,,,,,,,,
Gobardhan Janta Campus,Madhesh,,Management Bachelor 4-YRS B.B.S.,,95,48,143,,,,,,,,,,,,,
Gokundeshwar Campus,Koshi,,Management Bachelor 4-YRS B.B.S.,,42,25,67,,,,,,,,,,,,,
GP Koirala memorial college,Bagmati,Education,Master,EPM,6,14,20,,,,,,,,,,,,,
GP Koirala memorial college,Bagmati,Education,Master,Nepali Education,4,28,32,,,,,,,,,,,,,
GP Koirala memorial college,Bagmati,,Management Bachelor 4-YRS B.B.S.,,63,46,109,,,,,,,,,,,,,
Gramin Aadarsha Multiple Campus,Bagmati,Education,Bachelor 4-YRS B.ED.,,478,120,598,,,,,,,,,,,,,
Gramin Aadarsha Multiple Campus,Bagmati,Education,Master,English  Education,9,25,34,,,,,,,,,,,,,
Gramin Aadarsha Multiple Campus,Bagmati,Education,Master,Health Education,4,14,18,,,,,,,,,,,,,
Gramin Aadarsha Multiple Campus,Bagmati,Education,Master,Nepali Education,2,25,27,,,,,,,,,,,,,
Gramin Aadarsha Multiple Campus,Bagmati,HSS,Bachelor 4-YRS B.A.,,219,83,302,,,,,,,,,,,,,
Gramin Aadarsha Multiple Campus,Bagmati,HSS,Master,Rural  Development,25,35,60,,,,,,,,,,,,,
Gramin Aadarsha Multiple Campus,Bagmati,HSS,Master,Sociology,44,31,75,,,,,,,,,,,,,
Gramin Aadarsha Multiple Campus,Bagmati,,Management Bachelor 4-YRS B.B.S.,,578,286,864,,,,,,,,,,,,,
Gramodaya yugkabi siddhicharan  campus,Koshi,Education,Bachelor 4-YRS B.ED.,,99,57,156,,,,,,,,,,,,,
Gupteshowar Mahadev Multiple  Campus,Gandaki,Education,Bachelor 4-YRS B.ED.,,104,17,121,,,,,,,,,,,,,
Gupteshowar Mahadev Multiple  Campus,Gandaki,,Management Bachelor 4-YRS B.B.S.,,263,106,369,,,,,,,,,,,,,
Gupteshowar Mahadev Multiple  Campus,Gandaki,,Management Bachelor BHM,,37,46,83,,,,,,,,,,,,,
Gupteshowar Mahadev Multiple  Campus,Gandaki,,Management Bachelor BIM,,34,41,75,,,,,,,,,,,,,
Gupteshowar Mahadev Multiple  Campus,Gandaki,Management Master,,MBS,19,10,29,,,,,,,,,,,,,
Gupteshwor Campus,Gandaki,Education,Bachelor 4-YRS B.ED.,,53,6,59,,,,,,,,,,,,,
Gupteshwor Campus,Gandaki,HSS,Bachelor 4-YRS B.A.,,18,12,30,,,,,,,,,,,,,
Gupteshwor Campus,Gandaki,,Management Bachelor 4-YRS B.B.S.,,76,22,98,,,,,,,,,,,,,
Gupteshwor Campus,Gandaki,Management Master,,MBS,14,19,33,,,,,,,,,,,,,
Gurans Multiple Campus,Lumbini,Education,Bachelor 4-YRS B.ED.,,153,42,195,,,,,,,,,,,,,
Gurans Multiple Campus,Lumbini,,Management Bachelor 4-YRS B.B.S.,,52,36,88,,,,,,,,,,,,,
Gurdhakot Multiple Campus,Karnali,Education,Bachelor 4-YRS B.ED.,,247,126,373,,,,,,,,,,,,,
Gyan Jyoti Samudayik,Koshi,Education,Bachelor 4-YRS B.ED.,,117,54,171,,,,,,,,,,,,,
GyanoDaya Multiple PuBlic campus,Lumbini,Education,Bachelor 4-YRS B.ED.,,116,23,139,,,,,,,,,,,,,
GyanoDaya Multiple PuBlic campus,Lumbini,,Management Bachelor 4-YRS B.B.S.,,52,30,82,,,,,,,,,,,,,
Hanumanteshwar Campus,Bagmati,Education,Bachelor 4-YRS B.ED.,,53,11,64,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,,,,,,,,,,,,,
Campus Name,Province,Faculty,Level,Programname,Female,Male,Total,,,,,,,,,,,,,
Haraiya Multiple Campus,Lumbini,Education,Bachelor 4-YRS B.ED.,,167,68,235,,,,,,,,,,,,,
Haraiya Multiple Campus,Lumbini,,Management Bachelor 4-YRS B.B.S.,,101,60,161,,,,,,,,,,,,,
Hari Khetan Campus,Madhesh,Education,Bachelor 4-YRS B.ED.,,211,36,247,,,,,,,,,,,,,
Hari Khetan Campus,Madhesh,HSS,Bachelor 4-YRS B.A.,,23,22,45,,,,,,,,,,,,,
Hari Khetan Campus,Madhesh,HSS,Master,Rural  Development,0,1,1,,,,,,,,,,,,,
Hari Khetan Campus,Madhesh,Law,Bachelor Ll.B.,,44,114,158,,,,,,,,,,,,,
Hari Khetan Campus,Madhesh,,Management Bachelor 4-YRS B.B.S.,,354,101,455,,,,,,,,,,,,,
Hari Khetan Campus,Madhesh,Management Master,,MBS,19,19,38,,,,,,,,,,,,,
Hari Khetan Campus,Madhesh,S&T,Bachelor 4-YRS B.Sc,,57,10,67,,,,,,,,,,,,,
Harihar Shiksha Campus,Lumbini,Education,Bachelor 4-YRS B.ED.,,64,12,76,,,,,,,,,,,,,
Harihar Shiksha Campus,Lumbini,,Management Bachelor 4-YRS B.B.S.,,23,2,25,,,,,,,,,,,,,
Harikumar smarak college,Bagmati,,Management Bachelor 4-YRS B.B.S.,,61,15,76,,,,,,,,,,,,,
Hatiya janapriya multiple campus,Bagmati,Education,Bachelor 4-YRS B.ED.,,43,11,54,,,,,,,,,,,,,
Hetauda Campus,Bagmati,Education,Bachelor 4-YRS B.ED.,,410,59,469,,,,,,,,,,,,,
Hetauda Campus,Bagmati,Education,Master,EPM,20,27,47,,,,,,,,,,,,,
