0,1,2,3,4,5,6,7,,,,,,,,,,,,,
Birendra Multiple Campus,Bagmati,S&T,Master,Chemistry,9,16,25,,,,,,,,,,,,,
Birendra Multiple Campus,Bagmati,S&T,Master,Physics,2,23,25,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,Education,Bachelor,4-YRS B.ED.,1720,529,2249,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,Education,Bachelor,ICTE,70,33,103,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,Education,Master,EPM,17,19,36,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,Education,Master,English Education,31,104,135,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,Education,Master,Health Education,8,24,32,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,Education,Master,Health Education (Odl),5,1,6,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,Education,Master,Mathematics Education,40,8,48,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,Education,Master,Nepali Education,8,49,57,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,Education,Master,Nepali Education (Odl),5,10,15,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,HSS,Bachelor,4-YRS B.A.,287,218,505,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,HSS,Master,Economics,40,72,112,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,HSS,Master,English,86,31,117,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,HSS,Master,Nepali,16,7,23,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,HSS,Master,Sociology,77,101,178,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,Law,Bachelor,Ll.B.,200,454,654,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,Management Bachelor,,4-YRS B.B.S.,438,354,792,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,,Management Bachelor BBA,,136,57,193,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,,,,,,,,,,,,,
Campus Name,Province,Faculty,Level,Programname,Female,Male,Total,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,Management,Master,MBS,79,44,123,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,S&T,Bachelor,4-YRS B.Sc,460,463,923,,,,,,,,,,,,,
Butwal Multiple Campus,Lumbini,S&T,Bachelor BSc.CSIT,,82,323,405,,,,,,,,,,,,,
Central (Forestry ),Bagmati,Forestry,Bachelor Forestry,,272,251,523,,,,,,,,,,,,,
Central (Forestry ),Bagmati,Forestry,Master,Community Forestry,10,10,20,,,,,,,,,,,,,
Central (Forestry ),Bagmati,Forestry,Master,Forestry,45,91,136,,,,,,,,,,,,,
Central (Forestry ),Bagmati,Forestry,Master,Natural Resource Mgmt.  & Rural Development,17,14,31,,,,,,,,,,,,,
Central (Forestry ),Bagmati,Forestry,Master,Watershed Management,14,14,28,,,,,,,,,,,,,
Central (Forestry ),Bagmati,Forestry,Master,Wildlife Mgmt. &  Biodiversity Cons.,10,35,45,,,,,,,,,,,,,
Central (Forestry ),Bagmati,Forestry,PhD,PhD,3,9,12,,,,,,,,,,,,,
Central Campus,Bagmati,Medicine,Bachelor B. Optom,,13,25,38,,,,,,,,,,,,,
Central Campus,Bagmati,Medicine,Bachelor B.Sc. MIT,,16,30,46,,,,,,,,,,,,,
Central Campus,Bagmati,Medicine,Bachelor B.Sc. MTL,,24,45,69,,,,,,,,,,,,,
Central Campus,Bagmati,Medicine,Bachelor BASLP,,5,12,17,,,,,,,,,,,,,
Central Campus,Bagmati,Medicine,Bachelor BDS,,59,15,74,,,,,,,,,,,,,
Central Campus,Bagmati,Medicine,Bachelor BPH,,57,111,168,,,,,,,,,,,,,
Central Campus,Bagmati,Medicine,Bachelor Bpharma,,33,62,95,,,,,,,,,,,,,
Central Campus,Bagmati,Medicine,Bachelor MBBS,,153,297,450,,,,,,,,,,,,,
Central Campus,Bagmati,Medicine,Bachelor PERFUSIN,,3,7,10,,,,,,,,,,,,,
Central Campus Of  Technology,Koshi,S&T,Bachelor,4-YRS B.Sc,223,231,454,,,,,,,,,,,,,
Central Campus Of  Technology,Koshi,S&T,Bachelor BIT,,8,25,33,,,,,,,,,,,,,
Central Campus Of  Technology,Koshi,S&T,Master,MB,21,13,34,,,,,,,,,,,,,
Dadeldhura Campus,Sudurpaschim,Education,Bachelor,4-YRS B.ED.,388,151,539,,,,,,,,,,,,,
Dadeldhura Campus,Sudurpaschim,Education,Bachelor,ICTE,20,18,38,,,,,,,,,,,,,
Dadeldhura Campus,Sudurpaschim,Education,Master,English Education,6,2,8,,,,,,,,,,,,,
Dadeldhura Campus,Sudurpaschim,Education,Master,Health Education (Odl),1,3,4,,,,,,,,,,,,,
Dadeldhura Campus,Sudurpaschim,Education,Master,Nepali Education (Odl),4,6,10,,,,,,,,,,,,,
Dadeldhura Campus,Sudurpaschim,HSS,Bachelor,4-YRS B.A.,17,27,44,,,,,,,,,,,,,
Dadeldhura Campus,Sudurpaschim,HSS,Master,Sociology,20,38,58,,,,,,,,,,,,,
Dadeldhura Campus,,Sudurpaschim  Management Bachelor,,4-YRS B.B.S.,2,0,2,,,,,,,,,,,,,
Degree Campus,Koshi,HSS,Master,Anthropology,1,7,8,,,,,,,,,,,,,
Degree Campus,Koshi,HSS,Master,Culture,3,0,3,,,,,,,,,,,,,
Degree Campus,Koshi,HSS,Master,Economics,14,62,76,,,,,,,,,,,,,
Degree Campus,Koshi,HSS,Master,English,14,33,47,,,,,,,,,,,,,
Degree Campus,Koshi,HSS,Master,History,0,5,5,,,,,,,,,,,,,
Degree Campus,Koshi,HSS,Master,Nepali,7,3,10,,,,,,,,,,,,,
Degree Campus,Koshi,HSS,Master,Political Science,11,33,44,,,,,,,,,,,,,
Degree Campus,Koshi,HSS,Master,Rural Development,37,49,86,,,,,,,,,,,,,
Degree Campus,Koshi,HSS,Master,Sociology,75,74,149,,,,,,,,,,,,,
Degree Campus,Koshi,Management,Master,MBS,20,13,33,,,,,,,,,,,,,
Degree Campus,Koshi,S&T,Master,Botany,40,17,57,,,,,,,,,,,,,
Degree Campus,Koshi,S&T,Master,Mathmetics,0,11,11,,,,,,,,,,,,,
Degree Campus,Koshi,S&T,Master,Zoology,8,8,16,,,,,,,,,,,,,
Dhankuta Multiple Campus,Koshi,Education,Bachelor,4-YRS B.ED.,809,235,1044,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,,,,,,,,,,,,,
Campus Name,Province,Faculty,Level,Programname,Female,Male,Total,,,,,,,,,,,,,
Dhankuta Multiple Campus,Koshi,Education,Master,EPM,10,9,19,,,,,,,,,,,,,
Dhankuta Multiple Campus,Koshi,Education,Master,English Education,4,11,15,,,,,,,,,,,,,
Dhankuta Multiple Campus,Koshi,Education,Master,Health Education,2,8,10,,,,,,,,,,,,,
Dhankuta Multiple Campus,Koshi,Education,Master,Nepali Education,13,35,48,,,,,,,,,,,,,
Dhankuta Multiple Campus,Koshi,HSS,Bachelor,4-YRS B.A.,27,38,65,,,,,,,,,,,,,
Dhankuta Multiple Campus,Koshi,HSS,Master,Rural Development,33,62,95,,,,,,,,,,,,,
Dhankuta Multiple Campus,Koshi,Management Bachelor,,4-YRS B.B.S.,116,74,190,,,,,,,,,,,,,
Dhankuta Multiple Campus,Koshi,,Management Bachelor BBA,,34,23,57,,,,,,,,,,,,,
Dhankuta Multiple Campus,Koshi,Management,Master,MBS,28,14,42,,,,,,,,,,,,,
Dhankuta Multiple Campus,Koshi,S&T,Bachelor,4-YRS B.Sc,5,6,11,,,,,,,,,,,,,
Dhawalagiri Multiple  Campus,Gandaki,Education,Bachelor,4-YRS B.ED.,547,86,633,,,,,,,,,,,,,
Dhawalagiri Multiple  Campus,Gandaki,Education,Master,Curriculum And  Evaluation,26,8,34,,,,,,,,,,,,,
Dhawalagiri Multiple  Campus,Gandaki,Education,Master,Nepali Education,5,19,24,,,,,,,,,,,,,
Dhawalagiri Multiple  Campus,Gandaki,HSS,Bachelor,4-YRS B.A.,42,29,71,,,,,,,,,,,,,
Dhawalagiri Multiple  Campus,Gandaki,HSS,Master,Sociology,9,29,38,,,,,,,,,,,,,
Dhawalagiri Multiple  Campus,Gandaki,Management Bachelor,,4-YRS B.B.S.,486,207,693,,,,,,,,,,,,,
Dhawalagiri Multiple  Campus,Gandaki,,Management Bachelor BBA,,82,37,119,,,,,,,,,,,,,
Dhawalagiri Multiple  Campus,Gandaki,Management,Master,MBS,29,35,64,,,,,,,,,,,,,
Dhawalagiri Multiple  Campus,Gandaki,S&T,Bachelor,4-YRS B.Sc,47,20,67,,,,,,,,,,,,,
Doti Campus,Sudurpaschim,Education,Bachelor,4-YRS B.ED.,233,88,321,,,,,,,,,,,,,
Doti Campus,Sudurpaschim,HSS,Bachelor,4-YRS B.A.,72,33,105,,,,,,,,,,,,,
Doti Campus,Sudurpaschim,HSS,Bachelor BCA,,7,17,24,,,,,,,,,,,,,
Doti Campus,Sudurpaschim,HSS,Master,Nepali,7,7,14,,,,,,,,,,,,,
Doti Campus,Sudurpaschim,HSS,Master,Sociology,25,53,78,,,,,,,,,,,,,
Doti Campus,,Sudurpaschim  Management Bachelor,,4-YRS B.B.S.,22,34,56,,,,,,,,,,,,,
Gauradha Agriculture  Campus,Koshi,Agriculture,Bachelor B. Sc. Ag,,71,69,140,,,,,,,,,,,,,
Gorkha Campus,Gandaki,Education,Bachelor,4-YRS B.ED.,301,87,388,,,,,,,,,,,,,
Gorkha Campus,Gandaki,Education,Master,Biology Education,7,7,14,,,,,,,,,,,,,
Gorkha Campus,Gandaki,Education,Master,Curriculum And  Evaluation,9,6,15,,,,,,,,,,,,,
Gorkha Campus,Gandaki,Education,Master,English Education,8,23,31,,,,,,,,,,,,,
Gorkha Campus,Gandaki,Education,Master,Nepali Education,3,13,16,,,,,,,,,,,,,
Gorkha Campus,Gandaki,Management Bachelor,,4-YRS B.B.S.,62,22,84,,,,,,,,,,,,,
Hetauda (Forestry)  Campus,Bagmati,Forestry,Master,Forestry,35,28,63,,,,,,,,,,,,,
Hetauda (Forestry)  Campus,Bagmati,Forestry,Master,Mountain Env. &  Development Studies,7,7,14,,,,,,,,,,,,,
Jumla Multiple Campus,Karnali,Education,Bachelor,4-YRS B.ED.,332,263,595,,,,,,,,,,,,,
Jumla Multiple Campus,Karnali,Education,Master,EPM,5,7,12,,,,,,,,,,,,,
Jumla Multiple Campus,Karnali,Education,Master,Nepali Education,12,7,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,,,,,,,,,,,,,
Campus Name,Province,Faculty,Level,Programname,Female,Male,Total,,,,,,,,,,,,,
Jumla Multiple Campus,Karnali,Education,Master,Population Education,10,3,13,,,,,,,,,,,,,
Jumla Multiple Campus,Karnali,Management Bachelor,,4-YRS B.B.S.,40,65,105,,,,,,,,,,,,,
Lamjung Campus,Gandaki,Agriculture,Bachelor B. Sc. Ag,,188,158,346,,,,,,,,,,,,,
Lamjung Campus,Gandaki,HSS,Master,Population Studies,9,53,62,,,,,,,,,,,,,
Maharajgunj Medical  Campus,Bagmati,Medicine,Bachelor B.Sc. Nursing,,162,0,162,,,,,,,,,,,,,
Mahendra Campus,Koshi,Education,Bachelor,4-YRS B.ED.,777,176,953,,,,,,,,,,,,,
Mahendra Campus,Koshi,Education,Master,EPM,9,22,31,,,,,,,,,,,,,
Mahendra Campus,Koshi,Education,Master,English Education,17,27,44,,,,,,,,,,,,,
Mahendra Campus,Koshi,Education,Master,Nepali Education,2,68,70,,,,,,,,,,,,,
Mahendra Campus,Koshi,HSS,Bachelor,4-YRS B.A.,252,182,434,,,,,,,,,,,,,
Mahendra Campus,Koshi,Law,Bachelor,Ll.B.,330,738,1068,,,,,,,,,,,,,
Mahendra Campus,Koshi,Management Bachelor,,4-YRS B.B.S.,312,264,576,,,,,,,,,,,,,
Mahendra Campus,Koshi,,Management Bachelor BBA,,181,129,310,,,,,,,,,,,,,
Mahendra Campus,Koshi,,Management Bachelor BBM,,216,106,322,,,,,,,,,,,,,
Mahendra Campus,Koshi,Management,Master,MBS,57,45,102,,,,,,,,,,,,,
Mahendra Morang Adarsh  Multiple Campus,Koshi,Education,Bachelor,4-YRS B.ED.,312,162,474,,,,,,,,,,,,,
Mahendra Morang Adarsh  Multiple Campus,Koshi,Education,Bachelor,ICTE,14,6,20,,,,,,,,,,,,,
Mahendra Morang Adarsh  Multiple Campus,Koshi,Education,Master,EPM,1,6,7,,,,,,,,,,,,,
Mahendra Morang Adarsh  Multiple Campus,Koshi,Education,Master,English Education,5,14,19,,,,,,,,,,,,,
Mahendra Morang Adarsh  Multiple Campus,Koshi,Education,Master,Nepali Education,3,6,9,,,,,,,,,,,,,
Mahendra Morang Adarsh  Multiple Campus,Koshi,HSS,Bachelor,4-YRS B.A.,143,132,275,,,,,,,,,,,,,
Mahendra Morang Adarsh  Multiple Campus,Koshi,HSS,Bachelor BCA,,25,62,87,,,,,,,,,,,,,
Mahendra Morang Adarsh  Multiple Campus,Koshi,HSS,Master,English,7,7,14,,,,,,,,,,,,,
Mahendra Morang Adarsh  Multiple Campus,Koshi,Management Bachelor,,4-YRS B.B.S.,656,781,1437,,,,,,,,,,,,,
Mahendra Morang Adarsh  Multiple Campus,Koshi,,Management Bachelor BBA,,245,201,446,,,,,,,,,,,,,
Mahendra Morang Adarsh  Multiple Campus,Koshi,,Management Bachelor BBM,,184,86,270,,,,,,,,,,,,,
Mahendra Morang Adarsh  Multiple Campus,Koshi,,Management Bachelor BPA,,74,39,113,,,,,,,,,,,,,
Mahendra Morang Adarsh  Multiple Campus,Koshi,Management,Master,MBS,73,59,132,,,,,,,,,,,,,
Mahendra Morang Adarsh  Multiple Campus,Koshi,S&T,Bachelor,4-YRS B.Sc,315,386,701,,,,,,,,,,,,,
Mahendra Morang Adarsh  Multiple Campus,Koshi,S&T,Bachelor BIT,,26,71,97,,,,,,,,,,,,,
Mahendra Morang Adarsh  Multiple Campus,Koshi,S&T,Bachelor BSc.CSIT,,31,175,206,,,,,,,,,,,,,
Mahendra Morang Adarsh  Multiple Campus,Koshi,S&T,Master,Chemistry,11,9,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,,,,,,,,,,,,,
Campus Name,Province,Faculty,Level,Programname,Female,Male,Total,,,,,,,,,,,,,
Mahendra Morang Adarsh  Multiple Campus,Koshi,S&T,Master,Physics,10,52,62,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,Education,Bachelor,4-YRS B.ED.,773,155,928,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,HSS,Bachelor,4-YRS B.A.,120,121,241,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,HSS,Bachelor BCA,,32,57,89,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,HSS,Master,Anthropology,9,24,33,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,HSS,Master,Economics,29,58,87,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,HSS,Master,English,30,30,60,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,HSS,Master,Nepali,9,11,20,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,HSS,Master,Political Science,73,184,257,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,HSS,Master,Rural Development,24,27,51,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,HSS,Master,Sociology,44,53,97,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,Management Bachelor,,4-YRS B.B.S.,497,529,1026,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,,Management Bachelor BBA,,161,84,245,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,Management,Master,MBS,121,96,217,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,S&T,Bachelor,4-YRS B.Sc,160,182,342,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,Education,Bachelor,4-YRS B.ED.,381,119,500,,,,,,,,,,,,,
Mahendra Multiple  Campus,Lumbini,Education,Master,EPM,8,8,16,,,,,,,,,,,,,
